"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"03-SEP-1929","Ford 5-AT-B Tri-Motor","NC9649","Transcontinental Air Transport - TAT","8","Gallup, NM",NA,NA,"A1",1,"1929",NA,NA,NA
"06-SEP-1929","de Havilland DH.66 Hercules","G-EBMZ","Imperial Airways","3","Jask Airport",NA,NA,"A1",1,"1929",NA,NA,NA
"10-SEP-1929","Rohrbach Ro X Romar I","D-1734","Deutsche Lufthansa","0","Grömitz",NA,NA,"A1",1,"1929",NA,NA,NA
"19-OCT-1929","Sabca (Handley Page) W.8B","OO-AHK","Sabena","0","Edegem",NA,NA,"A1",1,"1929",NA,NA,NA
"26-OCT-1929","Short S.8/1 Calcutta","G-AADN","Imperial Airways","7","La Spezia",NA,NA,"A1",1,"1929",NA,NA,NA
"??-OCT-1929","Farman F.63bis Goliath","F-FARI","SGTA","","",NA,NA,"U1",1,"1929",NA,NA,NA
"06-NOV-1929","Junkers G.24bi","D-903","Deutsche Lufthansa","7","Godstone, Su...",NA,NA,"A1",1,"1929",NA,NA,NA
"18-NOV-1929","Rohrbach Ro X Romar I","D-1693","Deutsche Lufthansa","0","",NA,NA,"A1",1,"1929",NA,NA,NA
"27-NOV-1929","Fokker F.32","NX124M","Fokker Aircraft Corp. of America","0","Hempstead-Ro...",NA,NA,"A1",1,"1929",NA,NA,NA
"04-DEC-1929","Curtiss B-2 Condor (Condor 18)","29-28","USAAC","1","Goodwater, AL",NA,NA,"A1",1,"1929",NA,NA,NA
"12-DEC-1929","Farman F.180T","F-AIVR","SGTA","0","Toussus-le-N...",NA,NA,"O1",1,"1929",NA,NA,NA
"19-JAN-1930","Ford 5-AT-C Tri-Motor","NC9689","Maddux Airlines","16","Oceanside, CA",NA,NA,"A1",1,"1930",NA,NA,NA
"07-FEB-1930","Junkers R-42 (G.24)","J6","Chilean AF","3","Punta Arenas",NA,NA,"A1",1,"1930",NA,NA,NA
"08-FEB-1930","Ford 4-AT-A Tri-Motor","NC2492","Private","0","San Marcos, TX",NA,NA,"A1",1,"1930",NA,NA,NA
"10-FEB-1930","Farman F.63bis Goliath","F-FHMY","Air Union","2","Marden, Kent",NA,NA,"A1",1,"1930",NA,NA,NA
"14-FEB-1930","de Havilland DH.66 Hercules","G-EBNA","Imperial Airways","0","Gaza",NA,NA,"A1",1,"1930",NA,NA,NA
"02-MAR-1930","Ford 4-AT-A Tri-Motor","R-131","NYRBA","0","Cordoba",NA,NA,"A1",1,"1930",NA,NA,NA
"08-APR-1930","Ford 5-AT-C Tri-Motor","R-148","Tri-Motor Safety Airways",NA,"Buenos Aires",NA,NA,"A1",1,"1930",NA,NA,NA
"31-MAY-1930","Handley Page W.9a Hampstead","VH-ULK","Ellyou Goldfields Development",NA,"Mount Misim",NA,NA,"A1",1,"1930",NA,NA,NA
"05-JUN-1930","Ford 5-AT-B Tri-Motor","NC9675","Colonial Air Transport","1","Boston, MA",NA,NA,"A1",1,"1930",NA,NA,NA
"25-JUN-1930","Ford 5-AT-A Tri-Motor","NC7739","Northwest Airways","0","Chicago Muni...",NA,NA,"O1",1,"1930",NA,NA,NA
"09-JUL-1930","Farman F.63bis Goliath","F-ADFQ","SGTA","1","Aalsmeer",NA,NA,"A1",1,"1930",NA,NA,NA
"12-JUL-1930","Curtiss Condor 18","NC.....","Curtiss",NA,"Valley Strea...",NA,NA,"A1",1,"1930",NA,NA,NA
"04-AUG-1930","Ford JR-3 (5-AT-C) Tri-Motor","A8598","USMC","0","Ocotal, Nuev...",NA,NA,"A1",1,"1930",NA,NA,NA
"22-AUG-1930","Ford 5-AT-C Tri-Motor","OK-FOR","CSA","12","Jihlava (Iglau)",NA,NA,"A1",1,"1930",NA,NA,NA
"30-OCT-1930","Handley Page W.8g","G-EBIX","Imperial Airways","3","Boulogne, Paris",NA,NA,"A1",1,"1930",NA,NA,NA
"07-NOV-1930","Junkers G.24","P-BAHA","Syndicato Condor","1","Iguape, SP",NA,NA,"A1",1,"1930",NA,NA,NA
"21-NOV-1930","Ford 4-AT-B Tri-Motor","NC7118","Curtiss-Wright Flying Service","0","Burbank, CA",NA,NA,"O1",1,"1930",NA,NA,NA
"21-NOV-1930","Dornier Do R4 Superwal","I-RONY","SANA","6","Cap de Creus...",NA,NA,"A1",1,"1930",NA,NA,NA
