"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"16-MAY-1968","Antonov An-2M","CCCP-05977","Aeroflot, Moscow SPiMVL","1","Maryinka, Da...",NA,NA,"A1",1,"1968",NA,NA,NA
"19-MAY-1968","Antonov An-2R","CCCP-45228","Aeroflot / North Kavkaz","2","Tenginskaya,...",NA,NA,"A1",1,"1968",NA,NA,NA
"22-MAY-1968","Lockheed C-130A Hercules","56-0477","USAF","9","Muang Nong",NA,NA,"C1",1,"1968",NA,NA,NA
"22-MAY-1968","Douglas VC-54G (DC-4)","45-585","USAF","0","Bedford-Hans...",NA,NA,"A1",1,"1968",NA,NA,NA
"23-MAY-1968","Fairchild UC-123K Provider","54-0588","USAF","3","Xom Rach Goc",NA,NA,"C1",1,"1968",NA,NA,NA
"23-MAY-1968","Fairchild C-123B Provider","655","Air America","0","Na Khang",NA,NA,"A1",1,"1968",NA,NA,NA
"28-MAY-1968","Convair CV-990","PK-GJA","Garuda","29+ 1","Mumbai Airpo...",NA,NA,"A1",1,"1968",NA,NA,NA
"28-MAY-1968","Antonov An-2R","CCCP-45209","Aeroflot / Ukraine","2","Slobodovka, ...",NA,NA,"A1",1,"1968",NA,NA,NA
"28-MAY-1968","Antonov An-2M","636","Polish Navy","","Gdansk",NA,NA,"A1",1,"1968",NA,NA,NA
"29-MAY-1968","C-7B Caribou","62-4189","USAF","0","Dak To",NA,NA,"C1",1,"1968",NA,NA,NA
"30-MAY-1968","Antonov An-2M","CCCP-05989","Aeroflot / North Kavkaz","1","Novo-Zolotov...",NA,NA,"A1",1,"1968",NA,NA,NA
"03-JUN-1968","Lockheed L-1049H Super Constellatio","5T-TAC","North American Aircraft Trading","0","Bissau Airpo...",NA,NA,"O1",1,"1968",NA,NA,NA
"07-JUN-1968","Douglas C-53 (DC-3)","N74139","Aerodyne Engineering","0","Isla del Fro...",NA,NA,"A1",1,"1968",NA,NA,NA
"10-JUN-1968","Vickers Varsity T.1","WL677","RAF","0","Stradishall",NA,NA,"A1",1,"1968",NA,NA,NA
"12-JUN-1968","Boeing 727-22","N7086U","United Airlines","0","Denver, CO",NA,NA,"A2",1,"1968",NA,NA,NA
"12-JUN-1968","Fairchild F-27J","CF-GND","Great Northern Airways","0","Resolute Air...",NA,NA,"A1",1,"1968",NA,NA,NA
"12-JUN-1968","Boeing 707-321C","N798PA","Pan Am","6","Calcutta-Dum...",NA,NA,"A1",1,"1968",NA,NA,NA
"18-JUN-1968","Piaggio PD.808","I-PIAI","Piaggio","6","San Sebastiá...",NA,NA,"A1",1,"1968",NA,NA,NA
"19-JUN-1968","DC-9","","VIASA","0","Santiago-Ant...",NA,NA,"H2",1,"1968",NA,NA,NA
"25-JUN-1968","Lockheed C-130E Hercules","62-1861","USAF","0","Tay Ninh",NA,NA,"C1",1,"1968",NA,NA,NA
"25-JUN-1968","Fairchild C-123K Provider","54-0595","USAF","0","South Vietnam",NA,NA,"A1",1,"1968",NA,NA,NA
"29-JUN-1968","Douglas DC-8-53","PH-DCH","KLM, op.for VIASA","0","Amsterdam-Sc...",NA,NA,"O1",1,"1968",NA,NA,NA
"29-JUN-1968","Douglas DC-3","","Southeast Airlines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"01-JUL-1968","Lockheed L-1049G Super Constellatio","5T-TAG","Red Cross","4","Uli Airstrip",NA,NA,"A1",1,"1968",NA,NA,NA
"01-JUL-1968","Rockwell 1121 Jet Commander","N196KC","Kansas City Life Insurance","1","Fayetteville...",NA,NA,"A1",1,"1968",NA,NA,NA
"01-JUL-1968","Boeing 727-051","N475US","Northwest Orient Airlines","0","Havana-José ...",NA,NA,"H2",1,"1968",NA,NA,NA
"01-JUL-1968","Antonov An-2M","CCCP-02332","Aeroflot / Ukraine","2","Breusovka, P...",NA,NA,"A1",1,"1968",NA,NA,NA
"02-JUL-1968","Douglas DC-7BF","N762Z","Universal Airlines","0","Philadelphia...",NA,NA,"A1",1,"1968",NA,NA,NA
"03-JUL-1968","Airspeed AS.57 Ambassador 2","G-AMAD","BKS Air Transport","6","London-Heath...",NA,NA,"A1",1,"1968",NA,NA,NA
"03-JUL-1968","Hawker Siddeley HS-121 Trident 1C","G-ARPT","BEA","0","London-Heath...",NA,NA,"O1",1,"1968",NA,NA,NA
"03-JUL-1968","Hawker Siddeley HS-121 Trident 1C","G-ARPI","BEA","0","London-Heath...",NA,NA,"O2",1,"1968",NA,NA,NA
"04-JUL-1968","Boeing 727","","TWA","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"06-JUL-1968","CASA 352 (Junkers Ju-52)","T.2B-158","Spanish AF","","",NA,NA,"U1",1,"1968",NA,NA,NA
"08-JUL-1968","Convair CV-340-68","HZ-AAZ","Saudi Arabian","11","Dhahran Inte...",NA,NA,"A1",1,"1968",NA,NA,NA
"10-JUL-1968","Douglas C-47D (DC-3)","44-77275","USAF","","",NA,NA,"A1",1,"1968",NA,NA,NA
"11-JUL-1968","Antonov An-2T","OK-MYC","Ak Brno","1","Uherské Hrad...",NA,NA,"O1",1,"1968",NA,NA,NA
"12-JUL-1968","Convair CV-880","","Delta Air Lines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"13-JUL-1968","Boeing 707-329C","OO-SJK","Sabena","7","Lagos-Murtal...",NA,NA,"A1",1,"1968",NA,NA,NA
"15-JUL-1968","Curtiss C-46 Super C","PP-VBJ","Varig","3","Gravatá, PE",NA,NA,"A1",1,"1968",NA,NA,NA
"17-JUL-1968","DC-8","","National Airlines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"18-JUL-1968","Curtiss C-46D","CC-CDI","ALFA","5","Strait of Ma...",NA,NA,"A1",1,"1968",NA,NA,NA
"21-JUL-1968","Antonov An-2R","CCCP-32209","Aeroflot / Kyrgyzstan","14","Sufi-Kurgan",NA,NA,"A1",1,"1968",NA,NA,NA
"22-JUL-1968","Consolidated P4Y-2G Privateer","N7974A","Avery Aviation","4","McGrath, AK",NA,NA,"A1",1,"1968",NA,NA,NA
"23-JUL-1968","Boeing 707-458","4X-ATA","El Al","0","Algiers-Dar ...",NA,NA,"H2",1,"1968",NA,NA,NA
"25-JUL-1968","C-7B Caribou","63-9761","USAF","2","Pleiku",NA,NA,"A1",1,"1968",NA,NA,NA
"28-JUL-1968","Douglas C-124C Globemaster II","51-5178","USAF","10","Recife, PE",NA,NA,"A1",1,"1968",NA,NA,NA
"28-JUL-1968","Dassault Falcon 20C","N367EJ","Executive Jet Aviation","0","Cleveland-Bu...",NA,NA,"A2",1,"1968",NA,NA,NA
"29-JUL-1968","Lockheed HC-130P Combat King","66-0214","USAF","0","Tuy Hoa Airp...",NA,NA,"O1",1,"1968",NA,NA,NA
"29-JUL-1968","Lockheed HC-130P Combat King","66-0218","USAF","0","Tuy Hoa Airp...",NA,NA,"O1",1,"1968",NA,NA,NA
"30-JUL-1968","Boeing KC-135A Stratotanker","56-3655","USAF","9","Red Buff, CA",NA,NA,"A1",1,"1968",NA,NA,NA
"02-AUG-1968","Douglas DC-8-43","I-DIWF","Alitalia","13","Milano-Malpe...",NA,NA,"A1",1,"1968",NA,NA,NA
"03-AUG-1968","Antonov An-2","CCCP-01118","Aeroflot / North Kavkaz","14","Psebai",NA,NA,"A1",1,"1968",NA,NA,NA
"04-AUG-1968","Convair CV-580","N4634S","North Central Airlines","0","Milwaukee, WI",NA,NA,"A2",1,"1968",NA,NA,NA
"08-AUG-1968","Antonov An-10A","CCCP-11172","Aeroflot / East Siberia","0","Mirny Airpor...",NA,NA,"A1",1,"1968",NA,NA,NA
"08-AUG-1968","Consolidated PBY-5A Catalina","CF-FFY","Flying Firemen, op.for British Columbia Forest Services","2","Shawnigan La...",NA,NA,"A1",1,"1968",NA,NA,NA
"09-AUG-1968","Vickers 739A Viscount","G-ATFN","British Eagle","48","Langenbruck",NA,NA,"A1",1,"1968",NA,NA,NA
"10-AUG-1968","Fairchild FH-227B","N712U","Piedmont Airlines","35","Charleston, WV",NA,NA,"A1",1,"1968",NA,NA,NA
"18-AUG-1968","Antonov An-24B","SU-AOL","UAA","40","Cyprus",NA,NA,"A1",1,"1968",NA,NA,NA
"18-AUG-1968","Douglas C-54B (DC-4)","OB-R-849","Rutas Internacionales","","",NA,NA,"U1",1,"1968",NA,NA,NA
"18-AUG-1968","Douglas DC-3D","9Q-CUM","Air Congo","","Kinshasa-N'D...",NA,NA,"U1",1,"1968",NA,NA,NA
"20-AUG-1968","Hawker Siddeley HS-748","YV-C-AMY","LAV","4","Maturín-Quir...",NA,NA,"A1",1,"1968",NA,NA,NA
"22-AUG-1968","Convair CV-240-13","N91239","East Coast Leasing","0","Martinsburg ...",NA,NA,"O1",1,"1968",NA,NA,NA
"22-AUG-1968","Convair CV-600","N278E","East Coast Leasing","0","Martinsburg ...",NA,NA,"O1",1,"1968",NA,NA,NA
"23-AUG-1968","Curtiss C-46F","CP-760","TABSA","4","Reyes Airpor...",NA,NA,"A1",1,"1968",NA,NA,NA
"26-AUG-1968","C-7B Caribou","62-4177","USAF","3","Thein Ngon",NA,NA,"C1",1,"1968",NA,NA,NA
"29-AUG-1968","Douglas C-118A (DC-6)","53-3243","USAF","","Trabzon",NA,NA,"A1",1,"1968",NA,NA,NA
"29-AUG-1968","Douglas AC-47D Spooky","43-49499","USAF","0","Phan Rang Ai...",NA,NA,"C1",1,"1968",NA,NA,NA
"30-AUG-1968","Douglas C-124C Globemaster II","52-1018","USAF","","Austin-Bergs...",NA,NA,"U1",1,"1968",NA,NA,NA
"31-AUG-1968","DHC-3 Otter","LN-BFD","Ocean Products, op.for Westwing","5","Odda",NA,NA,"A1",1,"1968",NA,NA,NA
"03-SEP-1968","Ilyushin Il-18E","LZ-BEG","Bulair","47","Bourgas Airp...",NA,NA,"A1",1,"1968",NA,NA,NA
"04-SEP-1968","de Havilland DH-114 Heron 2D","LN-NPH","Nor Flyselskap","0","Bodø",NA,NA,"A1",1,"1968",NA,NA,NA
"06-SEP-1968","Lockheed C-130E Hercules","62-1785","USAF","5","Bao Loc",NA,NA,"C1",1,"1968",NA,NA,NA
"07-SEP-1968","Chase YC-122C Avitruc","N122R","Mobile Aircraft, Inc.","0","Golovin Airp...",NA,NA,"A1",1,"1968",NA,NA,NA
"07-SEP-1968","Boeing 707-341C","PP-VJR","Varig","0","Rio de Janei...",NA,NA,"O1",1,"1968",NA,NA,NA
"11-SEP-1968","SE-210 Caravelle III","F-BOHB","Air France","95","Nice, France",NA,NA,"A1",1,"1968",NA,NA,NA
"11-SEP-1968","Vickers Viscount","","Air Canada","0","Montreal-Dor...",NA,NA,"H2",1,"1968",NA,NA,NA
"12-SEP-1968","Fairchild C-123K Provider","54-0714","USAF","0","Vinh Long Ai...",NA,NA,"A1",1,"1968",NA,NA,NA
"13-SEP-1968","Rockwell 1121 Jet Commander","N148E","Eversharp","2+ 1","Hollywood-Bu...",NA,NA,"A1",1,"1968",NA,NA,NA
"15-SEP-1968","Vickers 827 Viscount","PP-SRE","VASP","2+ 1","São Paulo-Co...",NA,NA,"A1",1,"1968",NA,NA,NA
"19-SEP-1968","Antonov An-2","LZ-...","Unknown","1","Stalevo",NA,NA,"A1",1,"1968",NA,NA,NA
"19-SEP-1968","Curtiss C-46A","HC-AMC","ANDES","0","Managua-Las ...",NA,NA,"A1",1,"1968",NA,NA,NA
"20-SEP-1968","Breguet 1150 Atlantic","43","French Navy","5+ 1","Farnborough ...",NA,NA,"A1",1,"1968",NA,NA,NA
"20-SEP-1968","Boeing 720","","Eastern Air Lines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"22-SEP-1968","Boeing 727-59","HK-1401","Avianca","0","Camagüey Air...",NA,NA,"H2",1,"1968",NA,NA,NA
"22-SEP-1968","Douglas C-54A (DC-4)","HK-172","Avianca","0","Santiago Air...",NA,NA,"H2",1,"1968",NA,NA,NA
"22-SEP-1968","Antonov An-2TP","CCCP-91743","Aeroflot / Yakutsk","5","Seymchan, Ma...",NA,NA,"A1",1,"1968",NA,NA,NA
"24-SEP-1968","Boeing KC-135A Stratotanker","55-3133","USAF","11","Wake Island ...",NA,NA,"A1",1,"1968",NA,NA,NA
"26-SEP-1968","Douglas C-47A (DC-3)","N64423","Ford Motor Co.","0","Teterboro Ai...",NA,NA,"A1",1,"1968",NA,NA,NA
"27-SEP-1968","Douglas DC-7CF","N7466","Universal Airlines","0","Cherry Point...",NA,NA,"A1",1,"1968",NA,NA,NA
"28-SEP-1968","ATL-98 Carvair","CF-EPX","Eastern Provincial Airways","0","Twin Falls, NL",NA,NA,"A1",1,"1968",NA,NA,NA
"28-SEP-1968","Douglas C-54B (DC-4)","N90427","Pan African Airlines","57+ 1","Port Harcour...",NA,NA,"A1",1,"1968",NA,NA,NA
"28-SEP-1968","Lockheed L-1649A Starliner","N8081H","Willair International","0","Stockton, CA",NA,NA,"A1",1,"1968",NA,NA,NA
"30-SEP-1968","Airspeed AS.57 Ambassador 2","G-AMAG","Dan-Air Services","0","Manston Airp...",NA,NA,"A1",1,"1968",NA,NA,NA
"01-OCT-1968","Boeing KC-135A Stratotanker","55-3138","USAF","4","U-Tapao Airp...",NA,NA,"A1",1,"1968",NA,NA,NA
"03-OCT-1968","C-7B Caribou","63-9753","USAF","13","Camp Evans",NA,NA,"A1",1,"1968",NA,NA,NA
"03-OCT-1968","Douglas DC-7C","5T-TAR","North American Aircraft Trading","0","Uli Airstrip",NA,NA,"O1",1,"1968",NA,NA,NA
"04-OCT-1968","Antonov An-2M","635","Polish AF","","",NA,NA,"A1",1,"1968",NA,NA,NA
"06-OCT-1968","Antonov An-24B","CCCP-46552","Aeroflot / Turkmenistan","","Maryy",NA,NA,"A1",1,"1968",NA,NA,NA
"06-OCT-1968","Hawker Siddeley HS-748","XA-SE.","Aeromaya","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"07-OCT-1968","C-7B Caribou","63-9745","USAF","0","Ham Tan",NA,NA,"A1",1,"1968",NA,NA,NA
"07-OCT-1968","BN-2 Islander","TI-1063C","Aerovias del Valle","10","Paso Canoas ...",NA,NA,"A1",1,"1968",NA,NA,NA
"11-OCT-1968","Avia 14-32A","OK-MCJ","CSA","11","Praha-Ruzyne...",NA,NA,"A1",1,"1968",NA,NA,NA
"17-OCT-1968","PBV-1A Canso A (PBY-5A)","PP-PCW","Cruzeiro do Sul","4","Canutama, AM",NA,NA,"A1",1,"1968",NA,NA,NA
"19-OCT-1968","Lockheed C-130E Hercules","17949","Turkish AF","7","Akhisar",NA,NA,"A1",1,"1968",NA,NA,NA
"20-OCT-1968","Ilyushin Il-18D","CCCP-75436","Aeroflot / West Siberia","0","Krasnoyarsk ...",NA,NA,"A1",1,"1968",NA,NA,NA
"20-OCT-1968","Douglas C-47A (DC-3)","PP-SAD","Cruzeiro do Sul","19","Feijó Airpor...",NA,NA,"A1",1,"1968",NA,NA,NA
"20-OCT-1968","Douglas C-47D","45-934","USAF","23","Ban Me Thuot",NA,NA,"A1",1,"1968",NA,NA,NA
"22-OCT-1968","Boeing KC-135A Stratotanker","61-0301","USAF","6","Ching Chuan ...",NA,NA,"A1",1,"1968",NA,NA,NA
"23-OCT-1968","Douglas VC-47A (DC-3)","42-23966","USAF","","unknown",NA,NA,"A1",1,"1968",NA,NA,NA
"24-OCT-1968","Lockheed P-2H Neptune","135555","US Navy","","Sangley Poin...",NA,NA,"U1",1,"1968",NA,NA,NA
"25-OCT-1968","Douglas C-47A (DC-3)","PH-DAA","KLM Aerocarto","3","Tafelberg",NA,NA,"A1",1,"1968",NA,NA,NA
"25-OCT-1968","Douglas EC-47Q","42-24304","USAF","","Big Salt Lak...",NA,NA,"A1",1,"1968",NA,NA,NA
"25-OCT-1968","Fairchild FH-227C","N380NE","Northeast Airlines","32","Moose Mounta...",NA,NA,"A1",1,"1968",NA,NA,NA
"30-OCT-1968","Curtiss C-46","","SAESA","0","Brownsville, TX",NA,NA,"H2",1,"1968",NA,NA,NA
"02-NOV-1968","Antonov An-12B","CCCP-11349","Aeroflot / East Siberia","6","Lensk",NA,NA,"A1",1,"1968",NA,NA,NA
"02-NOV-1968","DC-9","","Eastern Air Lines","0","Birmingham A...",NA,NA,"H2",1,"1968",NA,NA,NA
"04-NOV-1968","Boeing 727","","National Airlines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"06-NOV-1968","Douglas C-54A (DC-4)","PP-LEW","VASP","0","Rio de Janei...",NA,NA,"A1",1,"1968",NA,NA,NA
"06-NOV-1968","Fokker F-27 Friendship","","Philippine Air Lines","1","Manila Inter...",NA,NA,"H2",1,"1968",NA,NA,NA
"07-NOV-1968","Douglas DC-6A/B","TC-55","Argentine AF","0","Mar Del Plat...",NA,NA,"A1",1,"1968",NA,NA,NA
"07-NOV-1968","Douglas C-47 (DC-3)","","Philippine AF","11","Zambales Mou...",NA,NA,"A1",1,"1968",NA,NA,NA
"08-NOV-1968","Boeing 707","","Olympic Airways","0","Paris-Orly A...",NA,NA,"H2",1,"1968",NA,NA,NA
"11-NOV-1968","Curtiss C-46A","CP-791","Compañia Boliviana de Aviacion","","San Borja",NA,NA,"A1",1,"1968",NA,NA,NA
"12-NOV-1968","Convair CV-580","N73135","Tex Johnson Inc","0","Santa Barbar...",NA,NA,"A1",1,"1968",NA,NA,NA
"18-NOV-1968","Douglas DC-6","XA-MON","Mexicana","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"19-NOV-1968","Boeing 707-324C","N17325","Continental Air Lines","0","Gunnison, CO",NA,NA,"C2",1,"1968",NA,NA,NA
"22-NOV-1968","DC-8-62","JA8032","JAL","0","San Fransisc...",NA,NA,"A2",1,"1968",NA,NA,NA
"23-NOV-1968","DHC-6 Twin Otter 200","N7666","Cable Commuter","9","Santa Ana-Or...",NA,NA,"A1",1,"1968",NA,NA,NA
"23-NOV-1968","Boeing 727","","Eastern Air Lines","0","Havana-José ...",NA,NA,"H2",1,"1968",NA,NA,NA
"24-NOV-1968","Boeing 707","","Pan Am","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"25-NOV-1968","Curtiss C-46D","N1386N","Air America","26","Savannakhet ...",NA,NA,"A1",1,"1968",NA,NA,NA
"28-NOV-1968","Lockheed C-130B Hercules","61-2644","USAF","0","Tonle Cham A...",NA,NA,"A1",1,"1968",NA,NA,NA
"30-NOV-1968","Boeing 720","","Eastern Air Lines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"02-DEC-1968","Fairchild F-27B","N4905","Wien Consolidated","39","Iliamna Airp...",NA,NA,"A1",1,"1968",NA,NA,NA
"03-DEC-1968","Boeing 727","","National Airlines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"05-DEC-1968","Ilyushin Il-14","640","CAAC","","Beijing",NA,NA,"A1",1,"1968",NA,NA,NA
"06-DEC-1968","Fairchild C-119G Flying Boxcar","BW-E","Norwegian AF","0","Røros Airpor...",NA,NA,"A1",1,"1968",NA,NA,NA
"06-DEC-1968","Dornier Do 28D-1 Skyservant","N7154","private","1","Sønderborg",NA,NA,"A1",1,"1968",NA,NA,NA
"07-DEC-1968","Douglas DC-7C","VR-BCY","North American Aircraft Trading","4","Uli Airstrip",NA,NA,"A1",1,"1968",NA,NA,NA
"09-DEC-1968","Lockheed L-1649A Starliner","N7314C","Fly by Night Safaris","0","Las Vegas-Mc...",NA,NA,"A1",1,"1968",NA,NA,NA
"11-DEC-1968","Boeing 727","","TWA","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"12-DEC-1968","Boeing 707-321B","N494PA","Pan Am","51","Caracas",NA,NA,"A1",1,"1968",NA,NA,NA
"13-DEC-1968","Fairchild C-123K Provider","54-0600","USAF","6","Ban Hai",NA,NA,"A1",1,"1968",NA,NA,NA
"13-DEC-1968","Douglas AC-47D Spooky","43-49274","USAF","0","Bien Hoa Air...",NA,NA,"A1",1,"1968",NA,NA,NA
"14-DEC-1968","Fairchild C-119G Flying Boxcar","51-2667","USAF","8","San Juan",NA,NA,"A1",1,"1968",NA,NA,NA
"17-DEC-1968","Fairchild C-123B Provider","54-0708","USAF","14","Chu Lai Air ...",NA,NA,"A1",1,"1968",NA,NA,NA
"19-DEC-1968","DC-8","","Eastern Air Lines","0","",NA,NA,"H2",1,"1968",NA,NA,NA
"19-DEC-1968","CASA 352 (Junkers Ju-52)","T.2B-235","Spanish AF","0","Gran Tarajal...",NA,NA,"A1",1,"1968",NA,NA,NA
"24-DEC-1968","Convair CV-580","N5802","Allegheny Airlines","20","Bradford Air...",NA,NA,"A1",1,"1968",NA,NA,NA
"24-DEC-1968","Lockheed L-100 Hercules","N760AL","Interior Airways","2","Prudhoe Bay, AK",NA,NA,"A1",1,"1968",NA,NA,NA
"24-DEC-1968","Douglas C-47A (DC-3)","5Y-ADI","Kenya Police","3","Nairobi-Wils...",NA,NA,"A1",1,"1968",NA,NA,NA
"26-DEC-1968","Douglas C-47B (DC-3)","2013","Brazilian AF","","Praia Ponta ...",NA,NA,"A1",1,"1968",NA,NA,NA
"26-DEC-1968","Douglas DC-3","","ESSA","12","Ensenada",NA,NA,"A1",1,"1968",NA,NA,NA
"26-DEC-1968","Boeing 707-321C","N799PA","Pan Am","3","Anchorage-El...",NA,NA,"A1",1,"1968",NA,NA,NA
"27-DEC-1968","Convair CV-580","N2045","North Central Airlines","27+ 1","Chicago-O'Ha...",NA,NA,"A1",1,"1968",NA,NA,NA
"27-DEC-1968","DC-9-15","N974Z","Ozark Air Lines","0","Sioux City-M...",NA,NA,"A1",1,"1968",NA,NA,NA
"28-DEC-1968","Boeing 707-3B4C","OD-AFC","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","de Havilland DH-106 Comet 4C","OD-ADR","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Douglas DC-7","OD-AEI","Lebanese International","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Douglas DC-6A/B","OD-AEY","TMA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","SE-210 Caravelle VI-N","OD-AEE","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","de Havilland DH-106 Comet 4C","OD-ADQ","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Douglas C-54B (DC-4)","OD-ADI","TMA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Vickers 754D Viscount","OD-ACT","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","SE-210 Caravelle VI-N","OD-AEF","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Vickers VC10-1102","9G-ABP","Ghana Airways, op.for MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Douglas DC-7","OD-AEK","Lebanese International","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Convair CV-990","OD-AEW","Lebanese International","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","Convair CV-990","OD-AEX","Lebanese International","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"28-DEC-1968","de Havilland DH-106 Comet 4C","OD-ADS","MEA","0","Beirut Inter...",NA,NA,"C1",1,"1968",NA,NA,NA
"31-DEC-1968","CT-39A-1-NO Sabreliner","62-4502","USAF","6","Hampton-Lang...",NA,NA,"A1",1,"1968",NA,NA,NA
"31-DEC-1968","Douglas EC-47P","43-48702","USAF","0","Pleiku Airpo...",NA,NA,"A2",1,"1968",NA,NA,NA
"31-DEC-1968","Vickers 720 Viscount","VH-RMQ","MacRobertson Miller Airlines","26","Port Hedland...",NA,NA,"A1",1,"1968",NA,NA,NA
"31-DEC-1968","Douglas C-47A (DC-3)","XA-SAE","SAESA","26","Ciudad Vitoria",NA,NA,"A1",1,"1968",NA,NA,NA
"??-DEC-1968","Lisunov Li-2T","CCCP-04214","Aeroflot / Polar","0","",NA,NA,"A1",1,"1968",NA,NA,NA
"??-???-1968","de Havilland DH-114 Heron 2D","CR803","Ceylon AF","","",NA,NA,"U1",1,"1968",NA,NA,NA
"??-???-1968","Curtiss TC-46A","PP-NME","VASP","","Rio de Janei...",NA,NA,"U1",1,"1968",NA,NA,NA
"??-???-1968","Lockheed L-1649A Starliner","N7324C","Six-T Ranch Corp.","0","Paramaribo-Z...",NA,NA,"A1",1,"1968",NA,NA,NA
"??-???-1968","Antonov An-2M","636","Polish AF","","",NA,NA,"A1",1,"1968",NA,NA,NA
"??-???-1968","Curtiss C-46D","HK-682","Aeropesca Colombia","","San Andrés I...",NA,NA,"A1",1,"1968",NA,NA,NA
"01-JAN-1969","Lockheed C-130E Hercules","454","Saudi AF","0","Paris-Le Bou...",NA,NA,"A1",1,"1969",NA,NA,NA
"02-JAN-1969","Douglas C-47A (DC-3)","B-309","China Airlines","24","Mt. Paku",NA,NA,"A1",1,"1969",NA,NA,NA
"02-JAN-1969","Douglas DC-6B","","Olympic Airways","0","Cairo",NA,NA,"H2",1,"1969",NA,NA,NA
"02-JAN-1969","DC-8","","Eastern Air Lines","0","",NA,NA,"H2",1,"1969",NA,NA,NA
"03-JAN-1969","BN-2A Islander","N587JA","General Airlines","0","Narsarsuaq",NA,NA,"A1",1,"1969",NA,NA,NA
"03-JAN-1969","Lockheed P-2H Neptune","140160","US Navy","","Whidbey Isla...",NA,NA,"A1",1,"1969",NA,NA,NA
"05-JAN-1969","Boeing 727-113C","YA-FAR","Ariana Afghan Airlines","48+ 2","London-Gatwi...",NA,NA,"A1",1,"1969",NA,NA,NA
"06-JAN-1969","Convair CV-580","N5825","Allegheny Airlines","11","Bradford Air...",NA,NA,"A1",1,"1969",NA,NA,NA
"07-JAN-1969","Douglas C-54A (DC-4)","HK-1028","Avianca","0","Santiago Air...",NA,NA,"H2",1,"1969",NA,NA,NA
"09-JAN-1969","Boeing 727","","Eastern Air Lines","0","",NA,NA,"H2",1,"1969",NA,NA,NA
"10-JAN-1969","Antonov An-2","CCCP-70940","Aeroflot / Far East","2","Malka, Yeliz...",NA,NA,"A1",1,"1969",NA,NA,NA
"11-JAN-1969","Douglas C-47A (DC-3)","PP-SPR","VASP","","Loanda, PA",NA,NA,"U1",1,"1969",NA,NA,NA
"11-JAN-1969","Boeing 727","","United Airlines","0","",NA,NA,"H2",1,"1969",NA,NA,NA
"11-JAN-1969","Convair CV-990","","APSA","0","",NA,NA,"H2",1,"1969",NA,NA,NA
"13-JAN-1969","DC-8-62","LN-MOO","SAS","15","Los Angeles,...",NA,NA,"A1",1,"1969",NA,NA,NA
"13-JAN-1969","Boeing RC-135S Rivet Ball","59-1491","USAF","0","Shemya AFB, ...",NA,NA,"A1",1,"1969",NA,NA,NA
"13-JAN-1969","Convair CV-880","","Delta Air Lines","0","",NA,NA,"H2",1,"1969",NA,NA,NA
"13-JAN-1969","BN-2 Islander","N584JA","Sud Aviacion","","",NA,NA,"U1",1,"1969",NA,NA,NA
"14-JAN-1969","BAC One-Eleven 201AC","G-ASJJ","BUA","0","Milano-Linate",NA,NA,"A1",1,"1969",NA,NA,NA
"15-JAN-1969","Douglas C-47 (DC-3)","YA-AAB","Ariana Afghan Airlines","","Kabul Airpor...",NA,NA,"U1",1,"1969",NA,NA,NA
"15-JAN-1969","Boeing 727-14","N973PS","PSA","0","San Francisc...",NA,NA,"A2",1,"1969",NA,NA,NA
"16-JAN-1969","Douglas C-47A (DC-3)","949","Air America","12","Hue",NA,NA,"A1",1,"1969",NA,NA,NA
