"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"839","08-AUG-1942","Consolidated PBY-5A Catalina","04980","US Navy","","Aleutians, AK",NA,NA,"A1",1
"840","09-AUG-1942","Consolidated PBY-5A Catalina","04414","US Navy","9","Cape Korrish...",NA,NA,"A1",1
"841","10-AUG-1942","Lisunov PS-84","CCCP-L3492","Aeroflot","","Stalingrad A...",NA,NA,"C1",1
"842","12-AUG-1942","Lisunov PS-84","CCCP-L3921","Aeroflot","6","Zhirkov",NA,NA,"C1",1
"843","13-AUG-1942","Lioré-et-Olivier H.246.1","F-AREJ","Air France","4","Algiers",NA,NA,"C1",1
"844","14-AUG-1942","Consolidated Catalina IB (PBY-5B)","FP151","RAF","4","Cape Charles...",NA,NA,"A1",1
"845","15-AUG-1942","Douglas C-53 Skytrooper (DC-3)","42-6463","USAAF","17","Garnet Peak,...",NA,NA,"A1",1
"846","17-AUG-1942","Lockheed 18 Lodestar","VHCAG","Australian CAA","","Port Moresby",NA,NA,"C1",1
"847","17-AUG-1942","Lockheed 18 Lodestar","VHCAI","Australian CAA","0","Port Moresby",NA,NA,"C1",1
"848","17-AUG-1942","Short Sunderland I","L2158","RAF","9","Sierra Leone",NA,NA,"A1",1
"849","17-AUG-1942","Douglas DC-5-511","VHCXA","ADAT","0","Port Moresby...",NA,NA,"C1",1
"850","19-AUG-1942","Consolidated PBY-5 Catalina","04474","US Navy","7+ 6","Coco Solo, M...",NA,NA,"A1",1
"851","20-AUG-1942","Consolidated PBY-5 Catalina","04468","US Navy","5","Manzanillo Bay",NA,NA,"A1",1
"852","22-AUG-1942","Short Sunderland","W4029","RAF","11","Gibraltar-No...",NA,NA,"A1",1
"853","22-AUG-1942","Lockheed 14-WF62 Super Electra","PJ-AIP","KLM West-Indisch Bedrijf","13","Port of Spai...",NA,NA,"A1",1
"854","23-AUG-1942","Douglas C-47 (DC-3)","41-7803","USAAF","12","Moel-y-Gaer ...",NA,NA,"A1",1
"855","23-AUG-1942","Consolidated PBY-5A Catalina","7255","US Navy","9","Dahlgren, VA",NA,NA,"A1",1
"856","23-AUG-1942","Douglas C-47 (DC-3)","41-18449","USAAF","","Dayton-Wrigh...",NA,NA,"A1",1
"857","25-AUG-1942","Short Sunderland III","W4026","RAF","13","Dunbeath, Sc...",NA,NA,"A1",1
"858","26-AUG-1942","Douglas C-47 (DC-3)","41-38618","USAAF","","Youngsville, LA",NA,NA,"A1",1
"859","04-SEP-1942","Douglas XC-32 (DC-2)","36-1","USAAF","","Washington-B...",NA,NA,"U1",1
"860","05-SEP-1942","Consolidated PBY-5 Catalina","04476","US Navy","","Amlia Island...",NA,NA,"A1",1
"861","07-SEP-1942","Consolidated PBY-5 Catalina","2376","US Navy","","Key West NAS...",NA,NA,"A1",1
"862","07-SEP-1942","Douglas DC-3A-228","XA-CAB","Mexicana","","Nuevo Laredo",NA,NA,"A1",1
"863","07-SEP-1942","Short Sunderland","W3927","RAF","7","Abu Qir",NA,NA,"A1",1
"864","13-SEP-1942","Douglas C-52C (DC-3-402)","41-7701","USAAF","0","Big Springs ...",NA,NA,"A1",1
"865","13-SEP-1942","de Havilland DH.95 Flamingo","G-AFYI","BOAC","","Adana",NA,NA,"A1",1
"866","14-SEP-1942","Douglas DC-2-112","A30-5","RAAF","5","Port Moresby...",NA,NA,"A1",1
"867","15-SEP-1942","de Havilland DH.86 Express","HX789","RAF","","Cochin Airpo...",NA,NA,"A1",1
"868","16-SEP-1942","Douglas C-53-DO (DC-3)","42-15872","USAAF","","Fayetteville...",NA,NA,"A1",1
"869","16-SEP-1942","Douglas C-47 (DC-3)","41-18379","USAAF","","Fayetteville...",NA,NA,"O1",1
"870","18-SEP-1942","Lockheed 18 Lodestar I","AX687","RAF","0","Bilbeis RAF ...",NA,NA,"A1",1
"871","19-SEP-1942","Douglas C-47 (DC-3)","41-18485","USAAF","7","Blairstown, NJ",NA,NA,"A1",1
"872","21-SEP-1942","Consolidated PBY-5A Catalina","7247","US Navy","","Great Exuma NAS",NA,NA,"A1",1
"873","22-SEP-1942","Consolidated Catalina III","FP525","RAF","0","Jan Mayen",NA,NA,"C1",1
"874","23-SEP-1942","Douglas C-53-DO (DC-3)","41-20112","USAAF","","between Kunm...",NA,NA,"A1",1
"875","24-SEP-1942","Short S.30 Empire Flying Boat","G-AFCZ","BOAC","19","M'bour, Senegal",NA,NA,"A1",1
"876","25-SEP-1942","Consolidated PBY-2 Catalina","0488","US Navy",NA,"Pensacola NA...",NA,NA,"A1",1
"877","27-SEP-1942","Douglas DC-2-118B","AX769","RAF","0","Lahore Airpo...",NA,NA,"A1",1
"878","27-SEP-1942","Dewoitine D.342","F-ARIZ","Air France","25","Ameur-el-Aïn",NA,NA,"A1",1
"879","28-SEP-1942","Lockheed 18 Lodestar","PP-PBG","Panair do Brasil","15","Pedra Branca...",NA,NA,"A1",1
"880","28-SEP-1942","Consolidated PBY-5 Catalina","04477","US Navy",NA,"Atka Airport...",NA,NA,"A1",1
"881","30-SEP-1942","Short Sunderland","T9050","RAF","3","Abu Qir",NA,NA,"A1",1
"882","01-OCT-1942","Douglas C-39 (DC-2)","38-524","USAAF","22","Coamo",NA,NA,"A1",1
"883","03-OCT-1942","Vought-Sikorsky VS-44","NC41880","American Export Airlines","11","Botwood, NL",NA,NA,"A1",1
"884","08-OCT-1942","Lockheed 14-WF62 Super Electra","VHCXK","KNILM",NA,"Cooktown, QLD",NA,NA,"A1",1
"885","09-OCT-1942","Douglas R4D-1 (DC-3)","01981","US Navy","8","New Caledonia",NA,NA,"A1",1
"886","10-OCT-1942","Douglas C-53 (DC-3)","52","CNAC",NA,"Dinjan Airport",NA,NA,"A1",1
"887","11-OCT-1942","Lockheed 18 Lodestar","VHCAE","Australian CAA",NA,"Brisbane-Arc...",NA,NA,"A1",1
"888","15-OCT-1942","Douglas C-49E (DC-3-DST)","42-43619","USAAF",NA,"Knobnoster, MO",NA,NA,"A1",1
"889","16-OCT-1942","Douglas C-47 (DC-3)","41-18585","USAAF","3","Bodinumu",NA,NA,"A1",1
"890","19-OCT-1942","Douglas C-53B Skytrooper (DC-3)","41-20047","USAAF",NA,"Fort Randall...",NA,NA,"A1",1
"891","20-OCT-1942","Consolidated PBY-3 Catalina","0907","US Navy","2","Corpus Chris...",NA,NA,"A1",1
"892","22-OCT-1942","Junkers Ju-52/3m","D-AYGX","Deutsche Lufthansa","17","Bukovac",NA,NA,"A1",1
"893","23-OCT-1942","Douglas DC-3-178","NC16017","American Airlines","12","Palm Springs...",NA,NA,"A1",1
"894","23-OCT-1942","Lockheed B-34 Lexington","41-38116","USAAF","0","Palm Springs...",NA,NA,"A2",1
"895","30-OCT-1942","Junkers Ju-52/3mge","7U+LK","German AF","2","Overlihogda,...",NA,NA,"A1",1
"896","31-OCT-1942","Junkers G.31go","A44-1","RAAF","0","Laverton Air...",NA,NA,"A1",1
"897","??-OCT-1942","Douglas DC-3 (Nakajima L2D)","J-BIOG","Imperial Japanese Airways",NA,"Cebu Island",NA,NA,"A1",1
"898","01-NOV-1942","Douglas C-51 (DC-3-270C)","41-7702","USAAF","0","Mullins, SC",NA,NA,"A1",1
"899","02-NOV-1942","Consolidated OA-10 Catalina (PBY-5)","43-2366","USAAF","5","Longue-Point...",NA,NA,"A1",1
"900","04-NOV-1942","Douglas C-49H (DC-3)","LR232","RAF",NA,"Allahabad",NA,NA,"A1",1
"901","04-NOV-1942","Douglas DC-3-209A","NC18951","TWA","0","Linden, MO",NA,NA,"A1",1
"902","05-NOV-1942","Douglas C-53 Skytrooper (DC-3)","42-15569","USAAF","0","East Coast",NA,NA,"A1",1
"903","05-NOV-1942","Junkers Ju-52/3mg4e","7U+FK","German AF","5","Rendalen, He...",NA,NA,"A1",1
"904","05-NOV-1942","Douglas C-47 (DC-3)","41-38615","USAAF","8","Natunga",NA,NA,"A1",1
"905","05-NOV-1942","Consolidated Catalina IIIA","FP535","RAF","9","Reykjavík",NA,NA,"A1",1
"906","06-NOV-1942","Consolidated PBY-5 Catalina","04454","US Navy",NA,"Manzanillo Bay",NA,NA,"A1",1
"907","06-NOV-1942","Douglas DC-5-511","VHCXB","ADAT","0","Lurnea Sidin...",NA,NA,"A1",1
"908","06-NOV-1942","Douglas C-49D (DC-3)","42-68860","USAAF",NA,"Memphis, TN",NA,NA,"A1",1
"909","07-NOV-1942","Consolidated PBY-5A Catalina","02968","US Navy",NA,"Wallis Island",NA,NA,"A1",1
"910","08-NOV-1942","Douglas C-47 (DC-3)","41-18355","USAAF",NA,"Spain",NA,NA,"A1",1
"911","08-NOV-1942","Douglas C-47 (DC-3)","41-7814","USAAF",NA,"Sebkra",NA,NA,"C1",1
"912","09-NOV-1942","Fiat G.12LGA","I-FELI","LATI","0","Crete",NA,NA,"A1",1
"913","09-NOV-1942","Douglas C-47 (DC-3)","41-18587","USAAF",NA,"Espirítu Santo",NA,NA,"A1",1
"914","10-NOV-1942","Douglas C-47 (DC-3)","41-18564","USAAF","17","Mount Obree",NA,NA,"A1",1
"915","10-NOV-1942","Douglas C-47 (DC-3)","41-18613","USAAF","3","Lockhart, SC",NA,NA,"A1",1
"916","11-NOV-1942","Douglas C-47 (DC-3)","41-7856","USAAF",NA,"Gibraltar-No...",NA,NA,"A1",1
"917","11-NOV-1942","Junkers Ju-52/3mge","EC-AAF","Iberia",NA,"Las Palmas",NA,NA,"U1",1
"918","11-NOV-1942","Douglas C-47 (DC-3)","41-18353","USAAF","0","Lisbon, Port...",NA,NA,"A1",1
"919","12-NOV-1942","Douglas C-50C","41-7695","USAAF","0","Cooktown, QLD",NA,NA,"A1",1
"920","13-NOV-1942","Short Sunderland II","W6054","RAF","5","Plymouth Sound",NA,NA,"A1",1
"921","13-NOV-1942","Junkers Ju-52/3mg5e","7U+FH","German AF","6","Masfjord, Ho...",NA,NA,"A1",1
"922","13-NOV-1942","Consolidated PBY-5A Catalina","7274","US Navy",NA,"Casablanca",NA,NA,"A1",1
"923","13-NOV-1942","Consolidated PBY-5A Catalina","7272","US Navy","1","Lake Washing...",NA,NA,"A1",1
"924","13-NOV-1942","Douglas C-47 (DC-3)","41-18469","USAAF",NA,"Mediterranea...",NA,NA,"A1",1
"925","15-NOV-1942","Savoia-Marchetti SM-75C","I-TELO","LATI","4","between Tuni...",NA,NA,"C1",1
"926","16-NOV-1942","Fiat G.18","I-ETNA","ALI","0","Milano",NA,NA,"A1",1
"927","16-NOV-1942","Douglas C-53-DO (DC-3)","42-47382","USAAF",NA,"Algiers-Mais...",NA,NA,"C1",1
"928","17-NOV-1942","Douglas C-47 (DC-3)","60","CNAC","3","Dali, Yunnan...",NA,NA,"A1",1
"929","17-NOV-1942","Lisunov PS-84","CCCP-L3965","Aeroflot","20","Krasnoyarsk ...",NA,NA,"A1",1
"930","17-NOV-1942","Curtiss BT-32 Condor II","651","Colombian AF","0","Pinto, Magda...",NA,NA,"A1",1
"931","18-NOV-1942","de Havilland DH.95 Flamingo","G-AFYG","BOAC",NA,"Addis Ababa ...",NA,NA,"A1",1
"932","18-NOV-1942","Douglas DC-3A-191","NC16064","United Airlines, op.for USAAF",NA,"Dayton-Wrigh...",NA,NA,"A1",1
"933","18-NOV-1942","Douglas C-47 (DC-3)","41-18378","USAAF",NA,"Tébessa Airp...",NA,NA,"A1",1
"934","19-NOV-1942","Douglas C-47 (DC-3)","41-18389","USAAF",NA,"Tébessa Airp...",NA,NA,"A1",1
"935","20-NOV-1942","Douglas C-47 (DC-3)","41-18369","USAAF",NA,"Algiers-Mais...",NA,NA,"C1",1
"936","20-NOV-1942","Douglas C-49-DO (DC-3)","41-7685","USAAF",NA,"Popondetta",NA,NA,"A1",1
"937","21-NOV-1942","Ford 4-AT-B Tri-Motor","NC6892","Atlantic Airmotive","2","Billings, MT",NA,NA,"A1",1
"938","23-NOV-1942","Lockheed C-57 Lodestar","41-19731","USAAF","0","Clinton, MD",NA,NA,"A1",1
"939","23-NOV-1942","Savoia-Marchetti SM-75","I-MAGA","Ala Littoria","4","Mediterranea...",NA,NA,"A1",1
"940","24-NOV-1942","Ford 5-AT-C Tri-Motor","A45-1","RAAF","0","Myola Lake",NA,NA,"A1",1
"941","24-NOV-1942","Douglas C-47 (DC-3)","41-38628","USAAF",NA,"Popondetta",NA,NA,"C1",1
"942","25-NOV-1942","Douglas DC-2-171","A30-10","RAAF","0","Mallacoota A...",NA,NA,"A1",1
"943","26-NOV-1942","Douglas C-53 Skytrooper (DC-3)","41-20065","USAAF",NA,"St Joseph, MO",NA,NA,"A1",1
"944","26-NOV-1942","Consolidated PBY-5 Catalina","2407","US Navy","1","Exmouth, WA",NA,NA,"A1",1
"945","26-NOV-1942","Consolidated PBY-5A Catalina","02951","US Navy","9","Oahu Island,...",NA,NA,"A1",1
"946","26-NOV-1942","Short Sunderland I","DD851","RAF","11","Invergordon,...",NA,NA,"A1",1
"947","26-NOV-1942","Douglas C-47 (DC-3)","41-18560","USAAF",NA,"Port Moresby...",NA,NA,"A1",1
"948","26-NOV-1942","Douglas C-47 (DC-3)","41-38631","USAAF","4","Dobodura",NA,NA,"C1",1
"949","28-NOV-1942","Douglas C-47 (DC-3)","41-38635","USAAF","8","Iliamna Lake...",NA,NA,"A1",1
"950","29-NOV-1942","Douglas C-39 (DC-2)","38-516","USAAF","2","Bethel, CT",NA,NA,"A1",1
"951","29-NOV-1942","Douglas C-47 (DC-3)","41-7855","USAAF",NA,"Mocta Douz",NA,NA,"A1",1
"952","30-NOV-1942","Lockheed 18 Lodestar","VHCAH","Australian CAA, op.for ANA",NA,"Buna",NA,NA,"A1",1
"953","01-DEC-1942","Short S.23 Empire Flying Boat Mk I","G-AETX","BOAC",NA,"Durban",NA,NA,"O1",1
"954","03-DEC-1942","Douglas C-47 (DC-3)","41-18571","USAAF",NA,"Popondetta",NA,NA,"A1",1
"955","05-DEC-1942","Douglas C-47 (DC-3)","41-18494","USAAF","12","Montgomery-M...",NA,NA,"A1",1
"956","06-DEC-1942","Douglas C-48B (DC-3)","42-38324","USAAF",NA,"Texas",NA,NA,"A1",1
"957","07-DEC-1942","Douglas C-47 (DC-3)","41-18453","USAAF",NA,"unknown",NA,NA,"A1",1
"958","08-DEC-1942","Lisunov Li-2","CCCP-L5805","Aeroflot / Uzbekistan","8","Mount Menshy...",NA,NA,"A1",1
"959","09-DEC-1942","Consolidated C-87 Liberator Express","41-11707","USAAF","10","Ascension Is...",NA,NA,"A1",1
"960","09-DEC-1942","Douglas DC-3-194F","D-ABBF","Deutsche Lufthansa","0","Madrid-Baraj...",NA,NA,"A1",1
"961","11-DEC-1942","Douglas C-32A (DC-2)","42-57228","USAAF","0","West Palm Be...",NA,NA,"A1",1
"962","11-DEC-1942","Douglas DC-3-391","VHCDI","ADAT",NA,"Popondetta",NA,NA,"A1",1
"963","11-DEC-1942","Douglas C-47 (DC-3)","41-7841","USAAF",NA,"unknown",NA,NA,"U1",1
"964","12-DEC-1942","Douglas C-39 (DC-2)","38-514","USAAF",NA,"Louisville, IN",NA,NA,"A1",1
"965","13-DEC-1942","Consolidated PBY-5A Catalina","05027","US Navy","6","Mokapuu Poin...",NA,NA,"A1",1
"966","13-DEC-1942","Consolidated PBY-5A Catalina","02966","US Navy","0","Australia",NA,NA,"A1",1
"967","14-DEC-1942","Consolidated PBY-5A Catalina","7245","US Navy",NA,"Natal, Brazil",NA,NA,"A1",1
"968","14-DEC-1942","Tupolev ANT-20bis","CCCP-L760","Aeroflot / Uzbekistan","36","Tashkent",NA,NA,"A1",1
"969","15-DEC-1942","Douglas DC-3A-191","NC16060","Western Air Lines","17","Fairfield, UT",NA,NA,"A1",1
"970","16-DEC-1942","Douglas C-53 Skytrooper (DC-3)","42-47379","USAAF",NA,"Blythe AAB, CA",NA,NA,"A1",1
"971","17-DEC-1942","Consolidated PBY-5 Catalina","08135","US Navy","7","Pacific Ocean",NA,NA,"A1",1
"972","18-DEC-1942","Junkers Ju-52/3m","OY-DAL","DDL","2","Wien-Aspern ...",NA,NA,"A1",1
"973","19-DEC-1942","Lockheed 18 Lodestar","248","South African AF","12","Kisumu Airpo...",NA,NA,"A1",1
"974","20-DEC-1942","Douglas C-53 Skytrooper (DC-3)","41-20098","USAAF",NA,"",NA,NA,"A1",1
"975","20-DEC-1942","Lockheed 14-H2 Super Electra","CF-CPD","Canadian Pacific","13","Vancouver, BC",NA,NA,"A1",1
"976","21-DEC-1942","Consolidated PBY-5A Catalina","7285","US Navy",NA,"Alaska",NA,NA,"A1",1
"977","22-DEC-1942","Consolidated C-87 Liberator Express","41-11742","USAAF",NA,"New York-La ...",NA,NA,"A1",1
"978","22-DEC-1942","Lisunov PS-84","CCCP-L3903","Aeroflot / Uralsk","10","Yanaul",NA,NA,"A1",1
"979","22-DEC-1942","Douglas C-47 (DC-3)","41-18674","USAAF","5","Fairfield, NC",NA,NA,"A1",1
"980","27-DEC-1942","Consolidated PBY-5A Catalina","04402","US Navy","9","Reykjavík/Ke...",NA,NA,"A1",1
"981","30-DEC-1942","Consolidated Catalina IB (PBY-5B)","FP239","RAF","11","Omagh, Reagh...",NA,NA,"A1",1
"982","31-DEC-1942","Consolidated PBY-5A Catalina","08100","US Navy","7","Heceta Head, OR",NA,NA,"A1",1
"983","??-???-1942","Douglas DC-2-115E","NA+LD","German AF",NA,"Dno",NA,NA,"C1",1
"984","??-???-1942","Douglas DC-2-118A","NC14292","Panagra","0","Lima",NA,NA,"A1",1
"985","??-???-1942","Consolidated 28-2 Catalina","","Soviet Navy",NA,"",NA,NA,"A1",1
"986","??-???-1942","Douglas R4D-1 (DC-3)","4696","USMC",NA,"unknown",NA,NA,"A1",1
"987","01-JAN-1943","Junkers Ju-52/3mge","OO-AUG","Sabena","0","Bangui",NA,NA,"A1",1
"988","01-JAN-1943","Consolidated PBY-5 Catalina","04502","US Navy","3","South Pacific",NA,NA,"A1",1
"989","02-JAN-1943","Consolidated PBY-5 Catalina","04482","US Navy",NA,"Aleutians, AK",NA,NA,"A1",1
"990","02-JAN-1943","Short Sunderland III","N9209","RAF","12","Port Said",NA,NA,"A1",1
"991","03-JAN-1943","Consolidated PBY-5A Catalina","08097","US Navy","8","Atlantic Ocean",NA,NA,"A1",1
"992","03-JAN-1943","Douglas C-34 (DC-2)","36-345","USAAF",NA,"Sebring-Hend...",NA,NA,"A1",1
"993","04-JAN-1943","Lockheed Lodestar II","EW986","RAF","11","Heliopolis",NA,NA,"A1",1
"994","05-JAN-1943","Consolidated PBY-2 Catalina","0497","US Navy",NA,"Jacksonville...",NA,NA,"A1",1
"995","06-JAN-1943","Douglas C-47 (DC-3)","41-7787","USAAF",NA,"Chabua Airfield",NA,NA,"A1",1
"996","06-JAN-1943","Consolidated 28-5MC Canso (PBY-5)","9737","RCAF","5","Gander Lake, NL",NA,NA,"A1",1
"997","07-JAN-1943","Douglas C-47 (DC-3)","41-18432","USAAF",NA,"unknown",NA,NA,"A1",1
"998","08-JAN-1943","Douglas DC-2-171","A30-13","RAAF","0","Cooktown Air...",NA,NA,"A1",1
"999","09-JAN-1943","Shorts S.26 G Class","G-AFCK","BOAC","13","Tagus River,...",NA,NA,"A1",1
"1000","10-JAN-1943","Consolidated PBY-5 Catalina","2367","US Navy","8","Gibbs Hill L...",NA,NA,"A1",1
"1001","11-JAN-1943","Douglas DC-3A-197","NC16090","United Airlines, op.for USAAF","0","Oakland Muni...",NA,NA,"A1",1
"1002","11-JAN-1943","Douglas C-47 (DC-3)","41-18573","USAAF","5","between Tont...",NA,NA,"A1",1
"1003","12-JAN-1943","Douglas C-49G-DO (DC-3)","LR235","RAF","0","Tezpur Airpo...",NA,NA,"A1",1
"1004","12-JAN-1943","Douglas C-47 (DC-3)","41-18598","USAAF","0","Port Moresby...",NA,NA,"A1",1
"1005","13-JAN-1943","Consolidated PBY-5 Catalina","04431","US Navy","0","Perth, WA",NA,NA,"A1",1
"1006","13-JAN-1943","Lockheed 14-H2 Super Electra","F-ARRF","Air France","3","Aguelhok",NA,NA,"A1",1
"1007","13-JAN-1943","Consolidated PBY-5A Catalina","7302","US Navy","0","Reykjavik Ai...",NA,NA,"A1",1
"1008","15-JAN-1943","Douglas C-54 (DC-4)","41-32939","USAAF, op.for TWA","35","Paramaribo",NA,NA,"A1",1
"1009","15-JAN-1943","Douglas C-47 (DC-3)","","USAAF",NA,"Biskra Airpo...",NA,NA,"C1",1
"1010","15-JAN-1943","Douglas C-47 (DC-3)","41-18658","USAAF","6","Port Moresby...",NA,NA,"C1",1
"1011","16-JAN-1943","Douglas C-49D (DC-3)","41-7718","USAAF",NA,"Palo Seca",NA,NA,"A1",1
"1012","16-JAN-1943","Consolidated PBY-5 Catalina","2310","US Navy","5","Brunswick, G...",NA,NA,"A1",1
"1013","16-JAN-1943","Short Sunderland I","L5802","RAF",NA,"Alness, nr. ...",NA,NA,"A1",1
"1014","17-JAN-1943","Consolidated PBY-5A Catalina","08043","US Navy","4","Elizabeth Ci...",NA,NA,"A1",1
"1015","18-JAN-1943","Consolidated C-87 Liberator Express","41-11708","USAAF","26","Natal, Brazil",NA,NA,"A1",1
"1016","18-JAN-1943","Douglas C-47 (DC-3)","41-38667","USAAF","8","Wau Airport ...",NA,NA,"A1",1
"1017","21-JAN-1943","Martin M-130","NC14715","Pan Am","19","Ukiah, CA",NA,NA,"A1",1
"1018","21-JAN-1943","Douglas C-49G-DO","42-56614","USAAF",NA,"Austin-del V...",NA,NA,"A1",1
"1019","21-JAN-1943","Douglas R4D-1 (DC-3)","05051","US Navy","6","Flagstaff, AZ",NA,NA,"A1",1
"1020","21-JAN-1943","Short Sunderland I","T9085","RAF","11","Western Appr...",NA,NA,"A1",1
"1021","22-JAN-1943","Douglas DC-3A-399","NC33645","Panagra","14","Chaparra",NA,NA,"A1",1
"1022","23-JAN-1943","Douglas C-47 (DC-3)","41-18591","USAAF",NA,"Laurinburg-M...",NA,NA,"A1",1
"1023","23-JAN-1943","Douglas C-53 Skytrooper (DC-3)","41-18440","USAAF","0","Laurinburg-M...",NA,NA,"O1",1
"1024","23-JAN-1943","Lisunov PS-84","CCCP-L3443","Aeroflot","5","Myakinino",NA,NA,"A1",1
"1025","24-JAN-1943","Short Sunderland III","DV979","RAF","9","Black Rock, ...",NA,NA,"A1",1
"1026","24-JAN-1943","Douglas C-47 (DC-3)","41-38666","USAAF",NA,"Port Moresby...",NA,NA,"O1",1
"1027","24-JAN-1943","Douglas C-47 (DC-3)","41-38688","USAAF",NA,"unknown",NA,NA,"A1",1
"1028","26-JAN-1943","Douglas C-53 Skytrooper (DC-3)","41-20128","USAAF",NA,"Sookerating",NA,NA,"A1",1
"1029","27-JAN-1943","Consolidated PBY-5A Catalina","7278","US Navy","0","Greenland ic...",NA,NA,"A1",1
"1030","28-JAN-1943","Consolidated PBY-2 Catalina","0455","US Navy","3","Lake Ponchar...",NA,NA,"A1",1
"1031","28-JAN-1943","Consolidated PBY-5A Catalina","02965","US Navy",NA,"",NA,NA,"A1",1
"1032","29-JAN-1943","Fiat G.18V","I-EURE","ALI","5","Venice Airpo...",NA,NA,"A1",1
"1033","31-JAN-1943","Douglas C-53 Skytrooper (DC-3)","42-15537","USAAF","3","Castaic, CA",NA,NA,"A1",1
"1034","31-JAN-1943","Douglas Dakota II (DC-3)","MA929","RAF","6","northeastern...",NA,NA,"A1",1
"1035","07-FEB-1943","Douglas C-47 (DC-3)","41-38658","USAAF","5","Wau",NA,NA,"C1",1
"1036","07-FEB-1943","Consolidated C-87 Liberator Express","41-23903","USAAF","18","Canton Islan...",NA,NA,"A1",1
"1037","08-FEB-1943","Consolidated PBY-5 Catalina","04438","US Navy","2","Whidbey Isla...",NA,NA,"A1",1
"1038","09-FEB-1943","Douglas C-48B (DC-3)","42-56099","USAAF",NA,"Austin-del V...",NA,NA,"A1",1
"1039","09-FEB-1943","Consolidated C-87 Liberator Express","41-23850","USAAF","0","within Mexico",NA,NA,"A1",1
"1040","10-FEB-1943","Douglas C-47 (DC-3)","41-18430","USAAF",NA,"Dalhart, TX",NA,NA,"A1",1
"1041","12-FEB-1943","Consolidated PBY-5A Catalina","08033","US Navy",NA,"Canton Islan...",NA,NA,"A1",1
"1042","13-FEB-1943","Lockheed 14-H Super Electra","PP-AVA","Aerovias Brasil","1","Bom Jesus da...",NA,NA,"A1",1
"1043","13-FEB-1943","Douglas DC-3-294A","46","CNAC",NA,"Chungking",NA,NA,"A1",1
"1044","14-FEB-1943","Consolidated PBY-5 Catalina","08158","US Navy","3","San Francisc...",NA,NA,"A1",1
"1045","15-FEB-1943","de Havilland DH.95 Flamingo","G-AFYE","BOAC","2","Asmara",NA,NA,"A1",1
"1046","16-FEB-1943","Douglas C-47 (DC-3)","41-38581","USAAF",NA,"Takoradi",NA,NA,"A1",1
"1047","17-FEB-1943","Lisunov Li-2","","Soviet AF","6","Pisarevka vi...",NA,NA,"A1",1
"1048","22-FEB-1943","Boeing 314A","NC18603","Pan Am","24","Lisboa",NA,NA,"A1",1
"1049","22-FEB-1943","Douglas C-47 (DC-3)","42-32799","USAAF","2","Enterprise, UT",NA,NA,"A1",1
"1050","23-FEB-1943","Douglas C-53 Skytrooper (DC-3)","42-47373","USAAF","5","Cairo",NA,NA,"A1",1
"1051","23-FEB-1943","Douglas C-49J","43-1989","USAAF",NA,"Colorado Spr...",NA,NA,"A1",1
"1052","24-FEB-1943","Curtiss C-46","41-5176","USAAF","0","Buffalo, NY",NA,NA,"A1",1
"1053","24-FEB-1943","Junkers Ju-52/3mge","7U+LM","German AF","0","Gaeidnugaiss...",NA,NA,"A1",1
"1054","25-FEB-1943","Consolidated PBY-5 Catalina","08163","US Navy","5","San Diego-No...",NA,NA,"A1",1
"1055","26-FEB-1943","Lockheed 18 Lodestar","VHCAJ","Australian CAA, op.for ANA",NA,"Townsville, QLD",NA,NA,"A1",1
"1056","28-FEB-1943","Douglas C-49F-DO","42-56628","USAAF","5","Austin-del V...",NA,NA,"A1",1
"1057","28-FEB-1943","Consolidated PBY-5A Catalina","A24-25","RAAF","11","Cairns, QLD",NA,NA,"A1",1
"1058","02-MAR-1943","Douglas C-47 (DC-3)","41-19467","USAAF",NA,"unknown",NA,NA,"U1",1
"1059","02-MAR-1943","Lisunov Li-2","CCCP-L3495","Aeroflot","2","Mount Ketan-Dag",NA,NA,"A1",1
"1060","02-MAR-1943","Lisunov Li-2","","Soviet AF","9","Sol-Iletsk",NA,NA,"A1",1
"1061","04-MAR-1943","Douglas C-47 (DC-3)","41-18561","USAAF",NA,"Fayetteville...",NA,NA,"A1",1
"1062","05-MAR-1943","Consolidated PBY-5 Catalina","2334","US Navy","8","Pacific",NA,NA,"A1",1
"1063","05-MAR-1943","Lisunov PS-84","CCCP-L3913","Aeroflot","3","Berdigestyak...",NA,NA,"A1",1
"1064","06-MAR-1943","Consolidated PBY-5 Catalina","04475","US Navy","4","Whidbey Isla...",NA,NA,"A1",1
"1065","08-MAR-1943","Douglas C-47 (DC-3)","41-18521","USAAF",NA,"Fayetteville...",NA,NA,"A1",1
"1066","08-MAR-1943","Douglas C-47 (DC-3)","41-19493","USAAF",NA,"Fort Hertz",NA,NA,"A1",1
"1067","08-MAR-1943","Consolidated PBY-5A Catalina","A24-22","RAAF","9","Gasmata",NA,NA,"A1",1
"1068","08-MAR-1943","Lisunov Li-2","","Soviet AF","5","Bataisk Airf...",NA,NA,"A1",1
"1069","09-MAR-1943","Consolidated PBY-5A Catalina","08054","US Navy",NA,"Narsarsuaq",NA,NA,"A1",1
"1070","10-MAR-1943","Consolidated PBY-5A Catalina","7297","US Navy","8","Lake Becharo...",NA,NA,"A1",1
"1071","11-MAR-1943","Douglas C-53-DO (DC-3)","53","CNAC","3","Luishui",NA,NA,"A1",1
