"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"16117","06-APR-1993","Antonov An-2M","CCCP-13343","MAP Kuibyshev","","",NA,NA,"A1",1
"16118","06-APR-1993","BN-2A-26 Islander","ZK-FVD","Great Barrier Airlines","0","Great Barrie...",NA,NA,"A2",1
"16119","07-APR-1993","Antonov An-2R","SP-WZD","ZUA","","Lublin",NA,NA,"A1",1
"16120","09-APR-1993","Antonov An-2R","SP-WZF","ZUA","","Viranschir",NA,NA,"A1",1
"16121","10-APR-1993","Boeing 737-2A8","","Indian Airlines","0","Lucknow-Amau...",NA,NA,"H2",1
"16122","14-APR-1993","Lockheed L-188AF Electra","N5517","Zantop","0","Detroit-Will...",NA,NA,"O1",1
"16123","14-APR-1993","DC-10-30","N139AA","American Airlines","0","Dallas/Fort ...",NA,NA,"A1",1
"16124","16-APR-1993","Swearingen SA226-TC Metro II","VH-UZS","Jetcraft","0","Mackay Airpo...",NA,NA,"A1",1
"16125","18-APR-1993","DC-9-41","JA8448","Japan Air System","0","Morioka-Hana...",NA,NA,"A1",1
"16126","18-APR-1993","DC-9-15","HK-2865X","Intercontinental de Aviación","0","Bogotá-Eldor...",NA,NA,"H2",1
"16127","19-APR-1993","BAe 3101 Jetstream 31","N131CA","United Express, opb Westair Commuter Airlines","0","Merced Munic...",NA,NA,"A1",1
"16128","20-APR-1993","Douglas C-47B (DC-3)","N8056","Phoenix Air","0","Zephyrhills ...",NA,NA,"A1",1
"16129","20-APR-1993","Douglas C-47A (DC-3)","CP-1622","Trans Aéreos Cochabamba","2","Florencia Ai...",NA,NA,"A1",1
"16130","23-APR-1993","Antonov An-26","BNMAU-14102","MIAT","32","Zavkhan Prov...",NA,NA,"A1",1
"16131","24-APR-1993","Airbus A300B2-1C","F-BUAE","Air Inter","0","Montpellier-...",NA,NA,"A1",1
"16132","24-APR-1993","Boeing 737-2A8","","Indian Airlines","1","Amritsar-Raj...",NA,NA,"H2",1
"16133","26-APR-1993","Antonov An-12B","CCCP-11121","UN","1","Luena",NA,NA,"C1",1
"16134","26-APR-1993","Boeing 737-2A8","VT-ECQ","Indian Airlines","55","Aurangabad A...",NA,NA,"A1",1
"16135","26-APR-1993","DC-9-82 (MD-82)","N14816","Continental Air Lines","0","Denver-Stapl...",NA,NA,"A2",1
"16136","27-APR-1993","Antonov An-32","","Afghan AF","76","Tashqurghan",NA,NA,"A1",1
"16137","27-APR-1993","DC-9-82 (MD-82)","N72822","Continental Air Lines","0","Denver-Stapl...",NA,NA,"A2",1
"16138","27-APR-1993","DHC-5D Buffalo","AF-319","Zambian Air Force","30","Libreville A...",NA,NA,"A1",1
